,text,A005,A008,A012,A009,A003,A002,A007,A004,A010,A001
20,Also zuerst einmal ist Abtreibung gleich Mord. Das heißt Abtreibung sollte genauso bestraft werden wie Mord. Selbstbestimmung hat seine Grenzen. Es darf nicht ein anderes Lebewesen gefährdet werden egal wie selbstbestimmt man leben möchte.,3,4,3,4,3,3,2,3,2,4
21,"Diese 2 ministerinnen sind der perfekte beweis, dass frauenquoten in (politischen) führungspositionen der breiten masse der frauen genau gar nichts bringen, sondern nur den quotierten selbst...",2,3,1,1,2,2,2,3,3,0
22,"na dann wird Krainer ja bald eure 29% Pipi ablösen und der SPÖ zur Absoluten verhelfen...oder?
*lol*",0,2,2,2,2,0,3,0,0,0
23,"Der muss jetzt sein:
Warum schauen Frauen einen Porno bis zum Schluss?
Weil sie wissen wollen, ob die dann heiraten",2,3,2,4,3,1,3,2,3,2
24,"Ja - weils politisch-medial nicht gewünscht ist gemischte Ranglisten zu zeigen
bei denen Frauen auf den vorderen Plätzen nicht auftauchen.

Dann lieber Serien wie diese wo halt was erfunden wird damit pc ist.",1,3,2,2,2,2,3,1,1,1
25,"ich glaube eher es ist halt nicht pc wenn Frauen da auftauchen würden wo sie
leistungsmäßig stehen. Und jede Frau die Schach spielt weiss das auch - also ist dsa mit der Motivation so eine Sache. Beim Schach machts ja wirklich keine Sinn zu trennen.

Erinnert mit an Kinderfussballturniere wo man nur noch verschiedene ""erste Pätze"" verteilt....insgeheim wissen die Kids natürlich ganz genau wer besser/schlechter ist.",3,3,1,2,2,2,4,1,1,0
26,"""Was ist das für weißes Zeug auf deinem Ding?""
""Aspirin gegen deine Kopfschmerzen.  Willst du es oral einnehmen oder als Zäpfchen?""",0,4,3,3,4,0,0,4,0,0
27,Das schöne Gesicht der Frauenquote,1,3,2,1,3,1,2,2,2,1
28,"Man sollte schon noch unterscheiden zwischen Männern und sogenannten ""Fotzenknechten"". Die auf den  Bildern da oben sind zweites. 
Echte Männer brauchen keine Pailettenhoodies, keine rosa Cowboyboots und auch keine 18Zoll Alufelgen von ihrem Audi im Ohrwaschellapperl.",3,2,2,2,4,4,4,3,0,4
29,"Sie hätt‘ auch gern den Sportminister gemacht ...
mit 15 kg Übergewicht. Das ist einfach nur lächerlich! Hauptsache irgendwas für die 4 Tausender im Monat ...",2,2,3,2,3,0,3,3,2,2
30,"Jawohl Kleiner, kannst dir drauf einen von der Palme wedeln. Mich tangiert das nur peripher ;)",2,0,2,1,2,0,1,3,0,2
31,"Allerdings, zum Glück sind ja auch wildlebende Katzenarten (zweibeinige) auch weltweit kaum wo bedroht, insofern ...",0,2,3,1,3,2,2,0,2,2
32,"Das ist individualisiert.
Sie scheinen Zielgruppe zu sein!",0,0,0,0,0,0,0,0,0,0
33,"wenn ich nach jeder Ehe einem Pensionssplitting zugestimmt hätte ......
wären jetzt auf meinem Pensionskonto 1000€. 
Was haben eine Frau und ein Hurricane gemeinsam? 
Wenns Sie kommen ist es feucht und es bläst.  Wenn Sie gehen hast du kein Auto, kein Haus und kein Pensionskonto mehr",4,4,2,2,4,3,4,4,3,3
34,"Träumerein von Halbstarken- wieder mal das übliche; keine Finanzierung darstellen können, aber wird schon gehen, kein Wort zur Inflation, keine Silbe zur notwendigen Grenzabschottung bzw den Problemen innerhalb der EU - sag nur Personenfreizügigkeit, die Wahrscheinlichkeit eines Kollaps der Wirtschaft wird ignoriert und viele „Bullshitjobs“ sind direkt oder indirekt öffentliche Jobs, wenn man die wie gewünscht bezahlt, sind wir wieder bei der Finanzierung. 
Keiner der Befürworter hat diese Punkte bisher nur halbwegs akzeptabel beantwortet.",0,1,0,0,0,0,0,0,0,0
35,"Alles im Sinne
einer schönen Leich'",-1,0,0,0,-1,0,-1,-1,0,-1
36,"Hab ich nicht gefordert, also was soll ihre Suggestivfrage?

Eine gerechte Strafe sollte schon sein wenn man einen Säugling dem möglichen erfrieren aussetzt, oder?",0,1,0,0,0,0,0,0,0,0
37,"Kämpferischer ... das heisst erzwingen ..
Das bedeutet, ihr wollt Leute zwingen euch ein sorgenfreies Leben zu finanzieren.
Alles klar ..",0,2,0,0,0,0,2,0,0,0
38,Ich kann den Scheiss vom Klimascheiss nicht mehr lesen. Sagen traut sich das ja (zurecht) mittlerweile keiner mehr.,0,0,0,0,0,0,0,0,0,0
39,"""wenn mehr Menschen mehr Geld zum Ausgeben haben, muss auch dementsprechend mehr produziert werden""

Was genau ist Ihr Berufszweig? 
Ich vermute mal dass Sie einfach die Gelddruckmaschine anwerfen um Ihre grandiose Idee umzusetzen; aber ok, da sind sie nicht so weit weg von den ""Wissenden"" in Europas Finanzpolitik - wie sich das auswirkt werden wir aber alle knallhart erleben.",0,0,0,0,0,0,0,0,0,0
40,"Meinen Hund - den hab ich nämlich schon letztes Jahr bekommen :-)

Ernsthaft: Die größte Lifestyle-Änderung meines Lebens. Ich muss jeden Tag mindestens 3x raus, einmal davon mindestens 1 h mit intensivem Spielen und Training.  Wer braucht da noch ein Fitness-Center?",0,0,0,0,0,0,0,0,0,0
41,"Fast jeder kennt jemanden, der auf Bullshitjobs verzichtet u lieber von der Mindestsicherung lebt. Ich kenn auch so jemanden. Am Wochenende (nicht an jedem) wird er - als gelernter Innenaussstatter - aber fleissig und betreibt ""Nachbarschaftshilfe"". So verdient er sich an ein paar Hunderter, weil er wirklich was drauf hat. So hat er halt eine 2Tage-Woche und hat unterm Strich nicht weniger Geld zur Verfügung als ich. 

Muss er mal einen Job antreten, weil das AMS es so will, so sind die Chefs meist nach recht kurzer Zeit froh, wenn sie ihn wieder los sind. Der Wecker hat nicht geläutet, und er kam nicht rechtzeitig zur Abfahrt zur Baustelle. Pech halt!

UND bitte nicht sagen, dass ich Vorurteile verbreite. Hat er selber schmunzelnd erzählt.",0,0,0,0,0,0,0,0,0,0
42,"Das Silvesterfeuerwerk ist also böse, aber eine für die Menschheit komplett sinnlose Veranstaltung wie ein Skispringen, das einen riesigen CO2-Fußabdruck hat, wo ein großer Teil der Zuschauer mit dem Auto angereist sein wird usw. das wird dahingehend unkommentiert gelassen?

Man sollte sich schon überlegen bei welchen Anlässen man es für nötig hält Unterhaltungsveranstaltungen wie ein Silvesterfeuerwerk aus Umweltsicht zu kritisieren. Kleiner Tipp: Es bei der Besprechung einer anderen Veranstaltung, die rein der Unterhaltung dient zu tun ist nicht die beste Idee...",0,0,0,0,0,0,0,0,0,0
43,"Sie beziehen sich wieder auf den Zusammenhang zwischen den Begriffen Verbrechen und Gesetz.Ich habe bereits erläutert,dass es nicht um die Schuldhaftigkeit im Sinn eines Gesetzes sondern ausschließlich um die moralische Schuldhaftigkeit geht.Absicht spielt dabei keine Rolle,nur persönliche und politische Überforderung.Das Aufrechterhalten des Einen bedingt den Niedergang des anderen.Die Selbstverständlichkeit mit der global das eine gegen das andere eingetauscht wird,ist das eigentliche Verbrechen und das alles,weil es angeblich alternativlos,der Ethik oder was auch immer geschuldet ist und ohne selbstverständlichen demokratischen Diskurs so entschieden wurde.Das es dabei auch um den Zeitfaktor geht ist logisch,ändert aber nichts am Faktum.",0,0,0,0,0,0,0,0,0,0
44,"oh
Einen Großversuch hat es in Finnland schon gegeben.  Er ist gescheitert.",0,0,0,0,0,0,0,0,0,0
45,"Im Text ...
... hat sich wohl die Leertaste der Redakteurin selbständig gemacht.",0,0,0,0,0,0,0,0,0,0
46,"Glaube ich sofort, dass Sie das nicht verstehen.",-1,0,0,-1,0,0,-1,-1,0,-1
47,"Natürlich keine Mehrheit. Die Parteien mit deren Bauerfängereien um gewählt zu werden, selber voll abkassieren zu können, gehen ja in die genau andere Richtung.",0,0,0,0,0,0,0,0,0,0
48,"kannst du mir bitte Fotos von denen Plastiksackerl schicken? So eine absurd hohe Anzahl wie 300 Einkaufsvorgänge kann ich mir nicht vorstellen.

Nicht einmal Obdachlose verwenden ihre Plastikssackerl so oft wieder und das hat einen einfachen Grund: Sie haltens ned aus",0,0,0,0,0,0,0,0,0,0
49,"Sie zählen dann vermutlich zu den ""Opas""
die nicht wissen wie Geld ""wächst"" 
den privaten Haushalt mit dem staaltlichen gleichsetzen
und Parteien wählen, die einen schlanken Staat fordern und ""sparen"" um des ""sparens"" willen betreiben ohne je was von dem ersparten zu haben, weil es auch im eigenen Haushalt unter der Matratze liegt.",0,0,0,0,0,0,0,0,0,0
50,"Die Piefke-Saga
1990 - Es gibt Filmförderung
2020 - Es gibt Erhebungen in denen das Wort ""Hass"" und ""Hetze"" oft vorkommt.

Damals war sogar die Zukunft besser.",0,0,0,0,0,0,0,0,0,0
51,Natürlich bin ich der Barkeeper der deine Schick-Futn mit nach Hause nimmt.,-1,-1,3,3,-1,4,-1,4,4,-1
52,"bin nur wegen...
...muschi da",-1,-1,2,4,-1,4,-1,4,4,-1
53,"Es gehören halt immer mehr Österreicher einer Religion an, die ihnen den Alkoholkonsum verbietet.",-1,-1,0,0,-1,0,-1,0,0,-1
54,"Das GA ist wirklich eine tolle Sache, und Avenir Suisse so etwas wie eine Buschenschaft ohne Schmiss, eine radikal neoliberale Masturbationsfraktion. Dies nur als Info eines Schweizers zur Ergänzung.",-1,-1,2,1,-1,0,-1,0,0,-1
55,Sie sind mir intellektuell zu unterbelichtet.,-1,-1,0,0,-1,0,-1,0,0,-1
56,"so nen
bullshit würde nicht mal deine frau von sich geben, falls du eine hättest!",-1,-1,2,2,-1,3,-1,3,3,-1
57,"Wenn man eine gute Frau hat, teilt man sowieso mit ihr. Im Normalfall. Hat man aber mit einer bösen Hexe ein Kind gezeugt, ist jeder sicher froh wenn er möglichst bald weg von ihr ist und ihr auch nicht noch sein Geld in den Ar... blasen muss.

Per Gesetz zu teilen kommt für mich keinesfalls in Frage! Und dafür würde ich auch auf die Barrikaden steigen.",-1,-1,2,4,-1,3,-1,3,2,-1
58,"Jetzt kommen schwere Zeiten , auf  die Hardecore Poster zu
Es wird nicht leicht sein - für die langjährigen Hardcorebasher denen Inhalte egal -  in diesem Forum.
Diejenigen  Hardecoreposte die noch etwas Hirn zum selbstdenken benutzen - müssen sich neue Feinbilder suchen, der  Rest wird muss sich an neue Namen gewöhnen.

Insgesamt zeigen die neuen Regierungsverantwortlichen aber vor - das man sich auch in ideologisch weit auseinanderliegen Welten durchaus   sprechen kann, und halbwegs vernünftigen Kompromissen zumindest eine Chance geben kann.

Wer jetzt schon rumbrüllt und schon jetzt genau weis was NICHT gehen wird - der hat den IBIZA Schuss nicht nicht hören wollen, demokratie und die Verfassung nicht mal ansatzweise verstanden und wird ewig  GRUNDSÄTZLICH dagegen sein",-1,-1,0,0,-1,0,-1,0,0,-1
59,Wie lange will Israel noch diesen sinnlosen Krieg führen?,-1,-1,0,0,-1,0,-1,0,0,-1
60,"Wieso ""nett""? Ist Dummheit ident mit ""nett""?",-1,-1,0,0,-1,0,-1,0,0,-1
61,"„Ausländerthema“ wird hier immer so negativ bewertet.
Da in Wien aber bereits 45 % der Bevölkerung Migrationshintergrund haben, ist es unvermeidbar, dass darüber gesprochen werden muss!

Würde sich eine Partei trauen, eben dieses Thema ehrlich anzusprechen, gäbe es keine FPÖ mehr.

Aber das macht man halt nicht, man will ja sein Stimmvieh nicht verärgern...",-1,-1,0,0,-1,0,-1,0,0,-1
62,"Ns, weiß ich nicht.
Was ich allerdings weiß, ist, dass Sie, nachdem Sie den ganzen Tag über mangels Arbeit posten können, ein sozialschmarotzender Tourettebefallener sind.",-1,-1,0,0,-1,0,-1,0,0,-1
63,"Fassen wir also zusammen
Nach Ansicht der Politologen aus der Standardcommunity wollte die Bundesregierung der Stadt mit der Schließung der Bundesgärten ""eins reinwürgen"" oder ""parteitaktische Gründe verfolgen"".

Dagegen spricht halt dass von einer Öffnung ohnehin nur die unmittelbaren Anrainer profitiert hätten, denn wer will kilometerweit zu Fuß zu den Bundesgärten marschieren statt einen offenen Park in der Nähe zu besuchen? Gegen die Theorie dass man ""den Roten"" eins reinwürgen wolle spricht auch dass besagte Anrainer bei der NRW 2019 mehrheitlich ohnehin Grün und ÖVP gewählt haben. Wie im Sprengel 3/57 beim Belvedere, im Sprengel 1/11 beim Burg und Volksgarten, im Sprengel 2/22 beim Augarten, ect.",-1,-1,0,0,-1,0,-1,0,0,-1
64,Sie ist und bleibt eine Ampfelwanger Landpomeranze. Der hilflos-panische Blick kann auch nicht darüber hinwegtäuschen.,-1,-1,0,3,-1,2,-1,1,3,-1
65,"„Bei der Auswahl achtete man allzu sehr darauf, welcher Lebenslauf am grünsten war“

Ich dachtE, das einzige Auswahlkriterium bei den Grüneinnen ist, dass man Eierstöcke hat.",-1,-1,3,4,-1,3,-1,3,4,-1
66,"Eine Frau - eine richtige Frau
wäre wirklich eine Überraschung bei de Grünen !",-1,-1,1,4,-1,3,-1,1,2,-1
67,"Rausch-er im Delirium
Bitte weitergehen, morgen wirds besser",-1,-1,0,0,-1,0,-1,0,0,-1
68,"Da prallen alle Klischees aufeinander
Cheerleaderin, reiche Eltern zahlen ihr die Eliteuni, redegewandt aber moralisch strohdumm, hübsch für die Kamera: was will man mehr? 
Vielleicht in ein paar Jahren Präsidentin? Schließlich haben wir gelernt: In den USA kann JEDER ALLES werden.",-1,-1,3,1,-1,2,-1,2,3,-1
69,"Erklär mir dein System, wo keiner mehr arbeitet und alle vom Staat leben.
OMG....Wer sollte das fordern??


""Nach meinem Unfall hatte 9 OP und bekam Krankengeld""
Sagte ich doch. Also hast du vom Staat mehr bekommen, als du bezahlt je eingezahlt hast.",-1,-1,0,0,-1,0,-1,0,0,-1
70,"Sogar als Rapid Fan muss ich zugeben
Heute war Rapid die schirche Oide, die gewetzt wurde",-1,-1,1,3,-1,2,-1,3,4,-1
71,Die soll mal mehr Tepf zeigen!,-1,-1,2,4,-1,3,-1,4,0,-1
72,"Jeder Gamer wird Online blöd angemacht,unabhängig davon ob er Mann oder Frau ist.
Sollen sich ein dickeres Fell wachsen lassen.",-1,-1,1,2,-1,0,-1,0,0,-1
73,milf alarm,-1,-1,2,3,-1,2,-1,3,4,-1
74,"Türkischer, Türkiser oder Tückischer Kampfposter, ich mag sie alle :)",-1,-1,0,0,-1,0,-1,0,0,-1
75,"Bei Elefanten sind alte, weise Männchen für das Überleben der Gesamtpopulation wichtig; beim Menschen erreichen alte, weiße Männchen mitunter genau das Gegenteil.",-1,-1,0,1,-1,0,-1,2,0,-1
76,"Ich würde es eher so formulieren:
Die Gründe dafür warum Homophobie und Antisemitismus im Aufschwung sind: 1. Zuzug von jungen Männern aus Ländern in denen Homophobie und Antisemitismus (+ Frauenfeindlichkeit, religiöser Wahn, Blutrache, etc.) zum guten Ton gehören und deren schlechte Integration in die westlich liberale Wertegemeinschaft zusammen mit einer Radikalisierung zunehmend zum Problem wird. 2. Der erstarkende Rechtsextremismus und sein erfolgreiches Agendasetting im Mainstream der Jugend- und Popkultur (Homophobie, Antisemitismus, Rassismus, Verschwörungstheorien,...). Das sind für mich keine Gegensatzpaare. Der Einfluss von radikalem Islam und Rechtsextremismus auf die Jugendkultur sind lange ignorierte und mittlerweile eiternde Wunden in unserer Gesellschaft.",-1,-1,0,0,-1,0,-1,0,0,-1
77,eine sehr verantwortungsvolle göre,-1,-1,2,2,-1,2,-1,2,2,-1
78,A dralle Biene!,-1,-1,2,0,-1,0,-1,0,3,-1
79,"Die Dame sollte sich geehrt fühlen das ihr jemand solche Angebote macht.

Man könnte auch dankend ablehnen, ohne so einen PR-Spektakel zu machen so lange das nicht öfter passiert.",-1,-1,2,2,-1,2,-1,3,0,-1
80,Charakterisiert wohl typische Frauenpolitik,-1,-1,2,0,-1,0,-1,0,2,-1
81,"Hallo?! China hat die WHO schon soweit dressiert beim Thema Taiwan einfach gar keine Antwort mehr zu geben.
Ich würde eher sagen wir lassen China mit seiner WHO alleine und gründen eben eine neue westliche Gesundheitsorganisation mit Blackjack und Nutten.",-1,-1,1,0,-1,0,-1,2,2,-1
82,"Stone hat den Congress angelogen, um Trump zu schuetzen, und Trump bewahrt Stone vor einer Gefaengnisstrafe. Gegen den Rat seines Justizministers, der praktisch sein Anwalt ist. Was soll ich da noch diskutieren? Trump spuckt auf Rechtsstaat und Verfassung. Wer diesen Horror-Clown hier noch verteidigt, waehrend unter den gemaessigten konservativen politischen Kraeften, der unabhaengigen Justiz, und den fuehrenden Journalisten des Landes laengst alle Alarmglocken schrillen, sollte sich fuer die kommenden Wochen und Monate entsprechend vorbereiten und wieder mal Videos von Baghdad Bob ansehen: wie leugne ich eine Realitaet, die mehr und mehr offensichtlich wird, bis hin zu den Truppen am Flughafen: nein, da sind keine Truppen, gar nix ist da.",-1,-1,0,0,-1,0,-1,0,0,-1
83,"Einfach einen
Ms. Wet T-Shirt Bewerb draus machen...",-1,-1,2,1,-1,2,-1,3,2,-1
84,Die französische Revulvation: alle Schwänze unter die Guillotine!,-1,-1,2,1,-1,2,-1,4,4,-1
85,"Nebelgranaten?
Wie man diese geistig devastierten ""Dings"" in Uniform nennt, ist echt egal.",-1,-1,0,0,-1,0,-1,0,0,-1
86,"ICH LIEBE DICH AUCH, {USER}
Und ich tu so bis...",-1,-1,0,0,-1,0,-1,0,0,-1
87,"Bitte, keine Frau mit Buckel und Hängebusen.",-1,-1,3,2,-1,3,-1,4,3,-1
88,"dann halt ich die Tür meines Ferrari auf und husch, schon sitzt die nächste drin...
Viele Frauen die so denken wie du, haben höllische Angst vor einem funktionierenden Sexroboter (vor allem wenn sie älter werden), der hat nämlich einen unschlagbaren Vorteil, einen AUS-Knopf.",-1,-1,3,1,-1,3,-1,4,4,-1
89,"die (eigentlich gutaussehende) radikalemanze
kommt bei den zwangsfinanzierten unter ...

schön, sowas freut die menschen bestimmt ...

umso mehr, wo es doch in deutschland für die meistsubventionierte bastelgruppe keinen extratausender gibt, so wie bei uns ...

nicht mal balkonapplaus (wie für die säulen der gesellschaft) gabs dort für linke lebenskünstler...

mfg",-1,-1,1,2,-1,2,-1,2,2,-1
90,"Was ist so?
Können Sie tatsächlich den wirklichen Anteil der Aufnahme von Franklin an der wissrnschaftlichen Gesamtleistung evaluieren?
Das ist doch feministische Mythologie, was hier betrieben wird.",-1,-1,0,0,-1,2,-1,1,0,-1
91,"Ich bezweifle, dass Sie Jurist sind.
Aber sicher ein Querulant, der sich seit 2 Wochen im Forum rumtreibt und stänkert. Und Rechtschreibfehler zum Besten gibt, dass man mit den Ohren schlackert. Ich kenne keinen Juristen, der dermaßen patscherte Fehler macht.",-1,-1,0,0,-1,0,-1,0,0,-1
92,"KLAGEN?
Ein Autohändler kann sein Auto ja nach dem Lockdown verkaufen..., ein Hotel den Urlaub nicht, 20% Ersatz ist für diese Banditen mehr als genug",-1,-1,0,0,-1,0,-1,0,0,-1
93,"Schwul ist cool
Die Frau ist wahrscheinlich grantig, weil die feschen Junx sie nicht anschauen, sondern sich untereinander vergnügen

Pech für die abgehängte Frustfrau",-1,-1,2,2,-1,3,-1,4,3,-1
94,"Die wird doch von Bill Gates finanziert.
Nuff Said.",-1,-1,0,0,-1,0,-1,0,0,-1
95,"Was haben Muslime bei uns verloren?
Seit der Rodung und Urbarmachung gab es hier nur heidnische und christliche Religionen.",-1,-1,0,0,-1,0,-1,0,0,-1
96,"Hach, er reicht mir dir Hand. Mit dem Mittelfinger voran. lol 
Du hast einen gewaltigen Vogel, Haberer. Lies dir mal zu nüchterner Stunde dein Gestammel hier durch.",-1,-1,0,0,-1,0,-1,0,0,-1
97,Nicht single aber frigide.,-1,-1,0,0,-1,2,-1,0,0,-1
98,"Ich kannte da mal so eine Wasserstoff-Blondine, die war kriminell schoarf! 
;-)",-1,-1,3,1,-1,2,-1,4,3,-1
99,"schas mit quasteln

aber instagramable!",-1,-1,0,0,-1,0,-1,0,0,-1
100,"Ökonomin
Wieder so ein Job für Frauen die sich wichtig nehmen und reden.

Typischer Menschenschlag die immer ""zweite Kasse"" rufen und sich überall verdrängen mit ""ich hab nur eine Frage""",-1,-1,2,2,-1,2,-1,3,3,-1
101,"Die AfD
wird sich vermutlich den Spaß machen und JEDEN zum MiniPräs wählen, sich dann genüsslich zurücklehnen und die wirren Reaktionen der anderen Parteien genießen... ""Der muss auf der Stelle zurücktreten, der wurde ja mit Stimmen der AfD gewählt.""

Das kommt davon, wenn cerebralcreatiefe Menschen die AfD groß machen.",-1,-1,0,0,-1,0,-1,0,0,-1
102,"Du Pimpifax beschwerst dich das du Chauffeur warst? War es dir nicht angenehm genug? Oder hat die Mama geschaut das du als Fahrer eingeteilt wirst? Aber nachher aushauen wie Schxxxe es war.....Frechheit seiner Ausbildung zu Berauben-Das ist der Sozialstaat du Leistest deinen ""letzten "" Beitrag im Wehrdienst oder bei Zivildienst und der nächste schaufelt dich im Winter frei oder räumt bei Hochwasser weg. Wahrscheinlich kommt eh ein THW wie in Deutschland......",-1,0,0,-1,0,0,-1,-1,0,-1
103,"""75,6  Jahre beträgt die durchschnittliche Lebenserwartung von Frauen weltweit.""
von mir aus können frauen gern 100 jahre alt werden.
wenn sie so lange arbeitsfähig und diensteifrig bleiben....",-1,0,0,-1,1,1,-1,-1,2,-1
104,"""Sie warnen, die Gesichtserkennungssoftware sowie Beobachtungskameras von Amazon könnten von den US-Behörden für diskriminierende Maßnahmen gegen Afroamerikaner und andere Minderheiten missbraucht werden.""
Diskriminierung (=Unterscheidung) ist bei der Verbrechensbekämpfung genau das Richtige. Diskriminierung ist dort nämlich auf Erfahrungswerten beruhende Einschränkung des Verdächtigenkreises anhand bestimmter Merkmale zum Zweck der Erhöhung der Erfolgswahrscheinlichkeit. Wenn die Erfahrung zeigt, dass bestimmte Gewaltverbrechen überwiegend von Männern begangen werden, dann ist eine Fokussierung bei der Fahndung auf Männer nicht sexistisch, sondern rational. Und wenn die Erfahrung zeigt, dass bestimmte Drogendelikte überwiegend von Menschen mit bestimmter Hautfarbe begangen werden, dann ist eine Fokussierung bei der Fahndung auf solche Personen nicht rassistisch, sondern rational.",-1,0,0,-1,0,0,-1,-1,0,-1
105,"dann wählens halt wens wolln, weiter so Genosse, ja die Richtung stimmt.

Sie Spatzerl",-1,1,0,-1,1,0,-1,-1,0,-1
106,"Schön, dass sich Hr. Semenya zur Abwechslung mal mit Männern misst. So wie es sich eigentlich immer gehören würde.",-1,0,2,-1,3,0,-1,-1,1,-1
107,oder wie onanieren und dabei an Bimlinger denken,-1,2,2,-1,3,2,-1,-1,4,-1
108,"Naja die Ostdame aus Griechenland mit rund 10% damals war auch ein Schnäppchen?
Oder doch billig ist nicht unbedingt gut?",-1,2,4,-1,3,2,-1,-1,0,-1
109,"Es tut mir leid für sie, dass die Beschränkungen weitgreifend sind!",-1,0,0,-1,0,0,-1,-1,0,-1
110,"Ja {USER}, ist schon gut.",-1,0,0,-1,2,0,-1,-1,0,-1
111,"ein einziger kurzer satz übers kopftuch ...
und selbstverständlich ist genau DAS die schlagzeile. aber ""framing"" - das machen selbstverständlich immer nur die anderen - gell frau kainrath?

im übrigen ist dem staud seine marillenmarmelda unübertroffen. UNÜBERTROFFEN!

ein kleine anekdote noch - als wir im jugoslawienkrieg anfang der 90er des vorigen jahrhunderts in einem transdanubischen gymnasium in der freizeit einen haufen flüchtlingskinder betreuten - spendete uns der herr staud mit einer vollkommenen selbstverständlichkeit unmengen von hoch- und höchstpreisigen marmeladen und eingelegten gemüsen. und er hats uns sogar geliefert! ein teil des nicht verwendeten landete dann in der gruft.

lieber herr staud - hier an dieser stelle noch einmal ein aufrichtiges und herzliches DANKE!",-1,0,0,-1,0,0,-1,-1,0,-1
112,Mich nervt die Moderation hier nur noch. Es wird großteils per Schlagwort gefiltert. Der Inhalt der Beiträge ist völlig egal.,-1,0,0,-1,0,0,-1,-1,0,-1
